Envergadura_m,Potencia_W,Peso_Total_kg
13.135678391959798,753.7132238160854,41.39310922030978
13.195979899497488,752.4336779171128,41.47914719227371
13.256281407035175,751.2036317713874,41.56550027385812
13.316582914572864,750.0223449390649,41.6521681778583
13.376884422110553,748.8890935226285,41.73915061863302
13.43718592964824,747.8031697238658,41.82644731208904
13.49748743718593,746.7638814146426,41.91405797566577
13.557788944723619,745.770551720987,42.00198232832021
13.618090452261306,744.8225186200133,42.09022009051205
13.678391959798995,743.9191345492318,42.178770984188986
13.738693467336683,743.0597660278197,42.26763473277233
13.798994974874372,742.24379328942,42.35681106114268
13.85929648241206,741.4706099260894,42.44629969562591
13.919597989949748,740.7396225429909,42.53610036397931
13.979899497487438,740.0502504234743,42.62621279537788
14.040201005025125,739.4019252041833,42.71663672040091
14.100502512562814,738.7940905598488,42.80737187101866
14.160804020100503,738.226201897439,42.898417980579225
14.22110552763819,737.6977260593503,42.98977478379566
14.281407035175878,737.2081410353353,43.08144201673318
14.341708542713569,736.7569356828742,43.173419416796605
14.402010050251256,736.3436094557059,43.265706722717916
14.462311557788944,735.967672140253,43.358303674544054
14.522613065326633,735.6286435996726,43.4512100136248
14.582914572864322,735.3260535252873,43.54442548260087
14.64321608040201,735.0594411951503,43.63794982539214
14.703517587939698,734.8283552395123,43.73178278718607
14.763819095477388,734.6323534129674,43.82592411442619
14.824120603015075,734.4710023730568,43.92037355480086
14.884422110552762,734.3438774651279,44.01513085723205
14.944723618090453,734.2505625132435,44.1101957718644
15.00502512562814,734.1906496169465,44.20556805005426
15.065326633165828,734.1637389536966,44.30124744435904
15.125628140703517,734.1694385867942,44.39723370852657
15.185929648241206,734.2073642786256,44.49352659748465
15.246231155778894,734.2771393090519,44.590125867330734
15.306532663316583,734.3783942987866,44.68703127532174
15.366834170854272,734.5107670376042,44.78424257986397
15.42713567839196,734.6739023172285,44.881759540503175
15.487437185929647,734.8674517687564,44.97958191791475
15.547738693467338,735.0910737044762,45.077709473894046
15.608040201005025,735.3444329639442,45.17614197134676
